time,frequency
8.765,254.04635591252713
8.77,254.15177329596688
8.775,254.66028314808284
8.78,256.2413839812234
8.785,253.79115214380258
8.79,236.79344783369157
8.795,254.3065639482384
8.8,249.8610610615026
8.805,247.19569824668483
8.81,246.29276186832183
8.815,248.96025014283856
8.82,255.0191038313679
8.825,256.402412431321
8.83,252.4294412163227
8.835,250.1990153532093
8.84,248.51070295279237
8.845,245.27492885060317
8.85,246.2121079473785
8.855,251.45630810154594
8.86,248.22786291194186
8.865,243.8642009879004
8.87,246.4822109205209
8.875,258.083800601407
8.88,256.62565040953234
8.885,254.35398571437003
8.89,229.30617138382715
8.895,264.0922747156173
8.9,242.80940649385556
8.905,265.77906931725533
8.91,260.3336243795333
8.915,282.4416105004584
8.92,244.4276411321966
8.925,270.404683350742
8.93,267.00307033421245
8.935,269.58432192478466
8.94,268.5576849532506
8.945,270.1458211158182
8.95,269.2857626678522
8.955,269.2440371391964
8.96,267.8710853824544
8.965,268.2345133588981
8.97,266.7940725578509
8.975,265.58041342848173
8.98,266.3977900695221
8.985,264.6545814150043
8.99,264.5298227565842
8.995,263.511678055235
9.0,262.9919291307091
9.005,262.45269952931164
9.01,262.1177693545814
9.015,262.7082046175732
9.02,261.9983432890028
9.025,263.1113625928383
9.03,261.40067634713716
9.035,260.9033746634258
9.04,261.4059034997899
9.045,260.54640937785524
9.05,260.6141610132153
9.055,260.66099571686306
9.06,260.7176557150805
9.065,260.5666562704575
9.07,260.0596156380154
9.075,260.5771033612711
9.08,259.3716830058538
9.085,259.39161737609646
9.09,258.93776880681867
9.095,258.44477599485754
9.1,258.1636861211843
9.105,258.9155812873586
9.11,258.77507470201726
9.115,258.37241220954945
9.12,258.1388759232924
9.125,258.64108941764647
9.13,257.9161115077618
9.135,258.90508609182433
9.14,257.8232413123305
9.145,258.2586983051428
9.15,260.6183343473705
9.155,259.26212532122344
9.16,259.9290711032165
9.165,260.27515248070307
9.17,258.89832744318363
9.175,261.36019661596464
9.18,260.8071567823449
9.185,255.56218741517083
9.19,251.92793606181695
9.195,250.75202347280344
9.2,248.8030241795089
9.205,247.4161680380557
9.21,244.82519750971824
9.215,245.99167420724893
9.22,253.84911155638167
9.225,251.00649811058526
9.23,256.27491052741505
9.235,242.79227602192785
9.24,255.85975652092165
9.245,267.02853558115373
9.25,263.51909451589745
9.255,265.09494229944255
9.26,265.4036015874754
9.265,263.3085685402515
9.27,263.21261175945347
9.275,262.08695003306207
9.28,261.60367506130746
9.285,261.84068154153647
9.29,261.16087300147643
9.295,259.2560497711919
